시설명,장비명,설치위치,측정상태,방식전위,방식전류,AC유입,배터리,온도,습도,통신상태,최근 갱신일시
A구역 가스기지,RTU-01,지하 매설구간,정상,-969.8mV,2mA,320.8mV,"3,597.2mV",9.1℃,5.5%,정상,2026-03-23 11:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-971.8mV,2mA,320.0mV,"3,597.1mV",9.0℃,5.6%,정상,2026-03-23 11:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-973.4mV,2mA,319.6mV,"3,597.1mV",8.8℃,5.4%,정상,2026-03-23 11:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-975.2mV,2mA,319.6mV,"3,597.0mV",8.9℃,5.4%,정상,2026-03-23 12:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-976.5mV,2mA,320.7mV,"3,596.9mV",8.7℃,5.4%,정상,2026-03-23 12:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-979.3mV,2mA,320.0mV,"3,596.9mV",8.6℃,5.4%,정상,2026-03-23 12:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-980.5mV,2mA,319.9mV,"3,596.8mV",8.5℃,5.6%,정상,2026-03-23 12:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-983.1mV,2mA,320.2mV,"3,596.8mV",8.3℃,5.5%,정상,2026-03-23 12:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-984.7mV,2mA,319.9mV,"3,596.8mV",8.4℃,5.5%,정상,2026-03-23 12:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-987.5mV,2mA,320.0mV,"3,596.7mV",8.2℃,5.4%,정상,2026-03-23 13:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-989.2mV,2mA,320.1mV,"3,596.7mV",8.3℃,5.5%,정상,2026-03-23 13:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-991.7mV,2mA,319.7mV,"3,596.6mV",8.2℃,5.5%,정상,2026-03-23 13:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-993.8mV,2mA,319.4mV,"3,596.6mV",8.1℃,5.6%,정상,2026-03-23 13:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-995.3mV,2mA,319.9mV,"3,596.5mV",8.1℃,5.5%,정상,2026-03-23 13:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-997.6mV,2mA,320.1mV,"3,596.4mV",8.0℃,5.6%,정상,2026-03-23 13:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-999.8mV,2mA,320.5mV,"3,596.4mV",8.1℃,5.5%,정상,2026-03-23 14:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,001.9mV",2mA,320.6mV,"3,596.3mV",8.1℃,5.5%,정상,2026-03-23 14:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,004.6mV",2mA,319.3mV,"3,596.3mV",8.1℃,5.4%,정상,2026-03-23 14:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,006.5mV",2mA,319.7mV,"3,596.2mV",8.2℃,5.4%,정상,2026-03-23 14:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,008.9mV",2mA,320.4mV,"3,596.2mV",8.1℃,5.4%,정상,2026-03-23 14:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,010.7mV",2mA,319.9mV,"3,596.2mV",8.2℃,5.5%,정상,2026-03-23 14:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,012.6mV",2mA,319.5mV,"3,596.1mV",8.4℃,5.5%,정상,2026-03-23 15:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,015.3mV",2mA,319.3mV,"3,596.1mV",8.3℃,5.5%,정상,2026-03-23 15:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,017.1mV",2mA,320.3mV,"3,596.0mV",8.5℃,5.4%,정상,2026-03-23 15:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,019.3mV",2mA,319.8mV,"3,595.9mV",8.4℃,5.6%,정상,2026-03-23 15:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,021.2mV",2mA,320.6mV,"3,595.9mV",8.6℃,5.4%,정상,2026-03-23 15:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,022.6mV",2mA,320.1mV,"3,595.8mV",8.6℃,5.6%,정상,2026-03-23 15:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,024.9mV",2mA,319.1mV,"3,595.8mV",8.7℃,5.4%,정상,2026-03-23 16:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,027.1mV",2mA,320.4mV,"3,595.8mV",8.9℃,5.5%,정상,2026-03-23 16:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,028.6mV",2mA,319.5mV,"3,595.7mV",8.9℃,5.4%,정상,2026-03-23 16:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,030.9mV",2mA,320.3mV,"3,595.7mV",9.1℃,5.5%,정상,2026-03-23 16:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,032.1mV",2mA,320.4mV,"3,595.6mV",9.4℃,5.6%,정상,2026-03-23 16:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,033.7mV",2mA,320.1mV,"3,595.6mV",9.5℃,5.4%,정상,2026-03-23 16:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,035.3mV",2mA,319.3mV,"3,595.5mV",9.6℃,5.5%,정상,2026-03-23 17:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,036.6mV",2mA,320.2mV,"3,595.4mV",9.7℃,5.4%,정상,2026-03-23 17:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,038.2mV",2mA,319.5mV,"3,595.4mV",9.9℃,5.5%,정상,2026-03-23 17:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,039.2mV",2mA,319.3mV,"3,595.3mV",10.1℃,5.5%,정상,2026-03-23 17:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,040.9mV",2mA,319.6mV,"3,595.3mV",10.2℃,5.5%,정상,2026-03-23 17:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,041.8mV",2mA,320.5mV,"3,595.2mV",10.5℃,5.5%,정상,2026-03-23 17:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,043.0mV",2mA,319.2mV,"3,595.2mV",10.5℃,5.6%,정상,2026-03-23 18:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,044.3mV",2mA,319.2mV,"3,595.2mV",10.7℃,5.5%,정상,2026-03-23 18:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.2mV",2mA,320.4mV,"3,595.1mV",11.1℃,5.5%,정상,2026-03-23 18:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.8mV",2mA,319.9mV,"3,595.1mV",11.2℃,5.6%,정상,2026-03-23 18:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,046.7mV",2mA,320.0mV,"3,595.0mV",11.4℃,5.6%,정상,2026-03-23 18:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,047.3mV",2mA,319.8mV,"3,594.9mV",11.7℃,5.5%,정상,2026-03-23 18:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,047.9mV",2mA,320.8mV,"3,594.9mV",11.8℃,5.4%,정상,2026-03-23 19:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,048.6mV",2mA,319.9mV,"3,594.8mV",12.0℃,5.5%,정상,2026-03-23 19:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.1mV",2mA,319.8mV,"3,594.8mV",12.2℃,5.6%,정상,2026-03-23 19:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.2mV",2mA,319.3mV,"3,594.8mV",12.4℃,5.6%,정상,2026-03-23 19:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.5mV",2mA,319.4mV,"3,594.7mV",12.8℃,5.4%,정상,2026-03-23 19:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,050.3mV",2mA,320.1mV,"3,594.7mV",12.8℃,5.4%,정상,2026-03-23 19:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,050.3mV",2mA,320.9mV,"3,594.6mV",13.2℃,5.5%,정상,2026-03-23 20:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.9mV",2mA,321.0mV,"3,594.6mV",13.3℃,5.6%,정상,2026-03-23 20:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.5mV",2mA,319.1mV,"3,594.5mV",13.6℃,5.4%,정상,2026-03-23 20:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.7mV",2mA,320.7mV,"3,594.4mV",13.8℃,5.4%,정상,2026-03-23 20:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.4mV",2mA,320.5mV,"3,594.4mV",13.9℃,5.6%,정상,2026-03-23 20:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.2mV",2mA,319.3mV,"3,594.3mV",14.2℃,5.6%,정상,2026-03-23 20:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,048.7mV",2mA,319.5mV,"3,594.3mV",14.3℃,5.4%,정상,2026-03-23 21:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,047.5mV",2mA,320.2mV,"3,594.2mV",14.6℃,5.5%,정상,2026-03-23 21:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,046.7mV",2mA,320.7mV,"3,594.2mV",14.9℃,5.4%,정상,2026-03-23 21:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.9mV",2mA,319.4mV,"3,594.2mV",15.0℃,5.4%,정상,2026-03-23 21:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.7mV",2mA,320.7mV,"3,594.1mV",15.3℃,5.6%,정상,2026-03-23 21:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,044.5mV",2mA,320.0mV,"3,594.1mV",15.5℃,5.5%,정상,2026-03-23 21:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,042.9mV",2mA,320.6mV,"3,594.0mV",15.6℃,5.5%,정상,2026-03-23 22:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,042.2mV",2mA,319.3mV,"3,593.9mV",15.7℃,5.4%,정상,2026-03-23 22:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,040.9mV",2mA,319.3mV,"3,593.9mV",16.0℃,5.6%,정상,2026-03-23 22:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,040.1mV",2mA,319.9mV,"3,593.8mV",16.1℃,5.4%,정상,2026-03-23 22:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,038.1mV",2mA,319.0mV,"3,593.8mV",16.4℃,5.5%,정상,2026-03-23 22:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,036.4mV",2mA,319.3mV,"3,593.8mV",16.5℃,5.5%,정상,2026-03-23 22:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,035.4mV",2mA,319.2mV,"3,593.7mV",16.6℃,5.6%,정상,2026-03-23 23:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,033.6mV",2mA,319.8mV,"3,593.7mV",16.7℃,5.4%,정상,2026-03-23 23:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,032.1mV",2mA,319.7mV,"3,593.6mV",16.9℃,5.6%,정상,2026-03-23 23:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,030.4mV",2mA,319.5mV,"3,593.6mV",17.2℃,5.6%,정상,2026-03-23 23:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,028.8mV",2mA,319.4mV,"3,593.5mV",17.3℃,5.6%,정상,2026-03-23 23:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,027.3mV",2mA,319.2mV,"3,593.4mV",17.4℃,5.5%,정상,2026-03-23 23:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,025.4mV",2mA,319.7mV,"3,593.4mV",17.5℃,5.4%,정상,2026-03-24 00:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,023.0mV",2mA,319.2mV,"3,593.3mV",17.5℃,5.6%,정상,2026-03-24 00:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,021.0mV",2mA,320.7mV,"3,593.3mV",17.6℃,5.5%,정상,2026-03-24 00:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,018.8mV",2mA,319.9mV,"3,593.2mV",17.6℃,5.4%,정상,2026-03-24 00:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,017.1mV",2mA,319.6mV,"3,593.2mV",17.8℃,5.6%,정상,2026-03-24 00:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,014.7mV",2mA,320.3mV,"3,593.2mV",17.9℃,5.5%,정상,2026-03-24 00:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,012.7mV",2mA,320.9mV,"3,593.1mV",17.9℃,5.5%,정상,2026-03-24 01:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,010.8mV",2mA,320.4mV,"3,593.1mV",18.1℃,5.5%,정상,2026-03-24 01:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,009.0mV",2mA,319.3mV,"3,593.0mV",17.9℃,5.5%,정상,2026-03-24 01:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,006.4mV",2mA,319.0mV,"3,592.9mV",18.0℃,5.6%,정상,2026-03-24 01:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,003.9mV",2mA,319.7mV,"3,592.9mV",18.0℃,5.6%,정상,2026-03-24 01:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,002.1mV",2mA,320.6mV,"3,592.8mV",18.1℃,5.4%,정상,2026-03-24 01:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,000.0mV",2mA,320.2mV,"3,592.8mV",18.1℃,5.5%,정상,2026-03-24 02:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-997.5mV,2mA,319.9mV,"3,592.8mV",18.0℃,5.5%,정상,2026-03-24 02:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-995.2mV,2mA,320.8mV,"3,592.7mV",18.2℃,5.5%,정상,2026-03-24 02:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-993.4mV,2mA,320.2mV,"3,592.7mV",18.1℃,5.5%,정상,2026-03-24 02:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-991.8mV,2mA,319.3mV,"3,592.6mV",18.0℃,5.4%,정상,2026-03-24 02:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-989.7mV,2mA,320.3mV,"3,592.6mV",18.0℃,5.6%,정상,2026-03-24 02:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-987.1mV,2mA,320.7mV,"3,592.5mV",17.8℃,5.6%,정상,2026-03-24 03:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-985.1mV,2mA,320.7mV,"3,592.4mV",17.9℃,5.6%,정상,2026-03-24 03:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-983.1mV,2mA,320.8mV,"3,592.4mV",17.8℃,5.5%,정상,2026-03-24 03:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-980.4mV,2mA,319.0mV,"3,592.3mV",17.8℃,5.5%,정상,2026-03-24 03:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-979.1mV,2mA,319.4mV,"3,592.3mV",17.7℃,5.6%,정상,2026-03-24 03:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-976.9mV,2mA,320.8mV,"3,592.2mV",17.5℃,5.5%,정상,2026-03-24 03:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-974.7mV,2mA,320.4mV,"3,592.2mV",17.4℃,5.5%,정상,2026-03-24 04:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-973.0mV,2mA,319.6mV,"3,592.2mV",17.4℃,5.4%,정상,2026-03-24 04:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-971.6mV,2mA,320.9mV,"3,592.1mV",17.1℃,5.5%,정상,2026-03-24 04:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-969.9mV,2mA,319.1mV,"3,592.1mV",17.0℃,5.4%,정상,2026-03-24 04:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-967.4mV,2mA,319.5mV,"3,592.0mV",16.9℃,5.5%,정상,2026-03-24 04:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-966.7mV,2mA,319.9mV,"3,591.9mV",16.7℃,5.6%,정상,2026-03-24 04:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-964.9mV,2mA,320.2mV,"3,591.9mV",16.6℃,5.5%,정상,2026-03-24 05:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-963.3mV,2mA,320.3mV,"3,591.8mV",16.5℃,5.5%,정상,2026-03-24 05:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-961.8mV,2mA,321.0mV,"3,591.8mV",16.3℃,5.5%,정상,2026-03-24 05:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-959.9mV,2mA,319.3mV,"3,591.8mV",16.2℃,5.4%,정상,2026-03-24 05:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-959.4mV,2mA,319.4mV,"3,591.7mV",16.1℃,5.6%,정상,2026-03-24 05:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-957.9mV,2mA,319.2mV,"3,591.7mV",15.8℃,5.5%,정상,2026-03-24 05:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-956.6mV,2mA,320.3mV,"3,591.6mV",15.7℃,5.5%,정상,2026-03-24 06:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-955.3mV,2mA,320.6mV,"3,591.6mV",15.3℃,5.5%,정상,2026-03-24 06:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.8mV,2mA,319.9mV,"3,591.5mV",15.1℃,5.5%,정상,2026-03-24 06:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.0mV,2mA,319.9mV,"3,591.4mV",15.1℃,5.5%,정상,2026-03-24 06:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-953.2mV,2mA,320.7mV,"3,591.4mV",14.8℃,5.4%,정상,2026-03-24 06:40:00
